usage_id,customer_id,usage_date,data_used_gb,call_minutes,network_type
10042,172,2023-04-22 00:00:00,4.24,7,4G
10043,258,2023-12-05 00:00:00,11.11,264,4G
10044,102,2024-02-04 00:00:00,1.23,77,5G
10045,209,2023-07-04 00:00:00,0.12,239,5G
10046,291,2022-01-14 00:00:00,4.04,257,5G
10047,354,2023-01-27 00:00:00,2.32,195,4G
10048,471,2022-12-13 00:00:00,0.55,130,5G
10049,286,2022-11-06 00:00:00,1.71,260,4G
10050,116,2023-01-21 00:00:00,3.39,241,5G
10051,264,2022-07-28 00:00:00,3.68,170,4G
10052,150,2022-12-23 00:00:00,1.73,146,4G
10053,300,2023-08-24 00:00:00,0.91,269,4G
10054,442,2023-07-22 00:00:00,9.1,148,4G
10055,36,2022-04-04 00:00:00,2.72,298,4G
10056,453,2022-04-03 00:00:00,1.31,27,5G
10057,333,2022-12-06 00:00:00,0.82,148,4G
10058,477,2023-08-20 00:00:00,3.28,279,4G
10059,287,2023-03-21 00:00:00,0.69,181,4G
10060,303,2024-01-27 00:00:00,0.47,165,4G
10061,311,2022-01-22 00:00:00,1.89,16,5G
10062,208,2022-10-18 00:00:00,0.86,149,4G
10063,106,2023-04-30 00:00:00,2.48,44,4G
10064,446,2024-02-23 00:00:00,0.31,188,5G
10065,158,2022-11-02 00:00:00,2.66,138,5G
10066,121,2023-09-26 00:00:00,0.83,60,4G
10067,55,2022-05-08 00:00:00,0,293,5G
10068,400,2023-09-17 00:00:00,0.34,32,4G
10069,12,2022-09-30 00:00:00,6.78,298,5G
10070,145,2024-04-27 00:00:00,5.05,111,4G
10071,400,2023-03-18 00:00:00,0.67,290,5G
10072,396,2023-05-18 00:00:00,3.77,36,4G
10073,136,2022-05-10 00:00:00,2.34,99,4G
10074,468,2022-05-12 00:00:00,8.84,22,4G
10075,3,2023-08-20 00:00:00,1.17,217,4G
10076,144,2023-04-27 00:00:00,2.86,88,5G
10077,30,2024-05-11 00:00:00,0.16,208,4G
10078,237,2023-01-25 00:00:00,1.26,270,4G
10079,279,2023-08-16 00:00:00,8.3,236,4G
10080,348,2022-11-21 00:00:00,1.94,208,4G
10081,115,2022-03-10 00:00:00,0.85,277,5G
10082,104,2023-10-22 00:00:00,0.32,205,4G
10083,118,2023-03-24 00:00:00,3.04,77,4G
10084,5,2023-06-12 00:00:00,2.59,97,5G
10085,468,2024-03-29 00:00:00,1.17,93,5G
10086,360,2023-09-09 00:00:00,7.54,79,4G
10087,248,2022-06-14 00:00:00,0.06,37,4G
10088,364,2023-05-03 00:00:00,0.91,227,5G
10089,321,2023-12-14 00:00:00,6.35,133,5G
10090,121,2023-12-10 00:00:00,0.97,195,5G
10091,286,2023-03-02 00:00:00,0.73,281,5G
10092,149,2023-11-28 00:00:00,1.91,100,5G
10093,84,2024-04-13 00:00:00,4.34,74,5G
10094,454,2022-09-22 00:00:00,0.27,293,5G
10095,406,2024-05-24 00:00:00,7.16,207,4G
10096,466,2023-09-04 00:00:00,3.96,82,4G
10097,456,2022-12-08 00:00:00,0.5,142,4G
10098,231,2024-04-11 00:00:00,3.11,55,4G
10099,288,2023-12-27 00:00:00,1.22,286,5G
10100,161,2022-10-05 00:00:00,1.29,210,5G
10101,272,2023-11-05 00:00:00,3.82,178,5G
10102,460,2023-03-15 00:00:00,8.23,57,5G
10103,38,2022-06-06 00:00:00,0.34,72,4G
10104,500,2023-02-26 00:00:00,1.36,214,5G
10105,226,2022-09-08 00:00:00,1.64,265,4G
10106,142,2024-05-27 00:00:00,1.18,72,4G
10107,292,2023-09-01 00:00:00,1.13,270,4G
10108,481,2023-06-14 00:00:00,0.13,233,5G
10109,151,2022-11-23 00:00:00,2.89,18,4G
10110,114,2024-06-13 00:00:00,1.43,112,5G
10111,237,2022-04-07 00:00:00,0.54,62,4G
10112,66,2023-05-28 00:00:00,4.23,183,4G
10113,361,2022-08-04 00:00:00,4.06,276,4G
10114,341,2022-05-12 00:00:00,1.67,161,4G
10115,258,2022-09-17 00:00:00,0.89,242,5G
10116,475,2022-05-05 00:00:00,2.54,144,4G
10117,249,2022-03-23 00:00:00,0.85,145,5G
10118,457,2022-10-10 00:00:00,0.67,80,5G
10119,449,2023-11-14 00:00:00,3.28,42,5G
10120,331,2022-02-28 00:00:00,0.1,292,4G
10121,323,2023-06-28 00:00:00,0.25,175,5G
10122,180,2022-06-10 00:00:00,0.02,68,4G
10123,190,2022-10-11 00:00:00,0.41,55,4G
10124,407,2022-04-16 00:00:00,0.18,118,4G
10125,154,2022-04-15 00:00:00,13.68,203,5G
10126,196,2023-03-15 00:00:00,0.85,54,4G
10127,466,2022-08-16 00:00:00,0.4,37,4G
10128,311,2023-12-01 00:00:00,0.69,242,4G
10129,262,2023-08-05 00:00:00,6.88,200,4G
10130,419,2022-11-14 00:00:00,1.84,235,4G
10131,406,2023-04-09 00:00:00,1.13,14,5G
10132,427,2024-03-12 00:00:00,5.17,143,4G
10133,143,2023-08-22 00:00:00,1.26,76,5G
10134,342,2024-05-31 00:00:00,1.02,262,4G
10135,316,2024-05-23 00:00:00,0.58,184,5G
10136,101,2023-04-17 00:00:00,1.19,54,4G
10137,244,2022-02-25 00:00:00,0.95,3,4G
10138,490,2023-09-17 00:00:00,2.83,298,4G
10139,12,2022-01-13 00:00:00,0.85,39,4G
10140,239,2023-03-16 00:00:00,2.15,229,5G
10141,49,2022-01-18 00:00:00,0.17,285,4G
10142,42,2023-11-25 00:00:00,0.53,137,5G
10143,166,2022-04-23 00:00:00,1.31,102,5G
10144,82,2022-08-17 00:00:00,6.91,6,4G
10145,429,2022-06-20 00:00:00,1.18,163,4G
10146,291,2022-10-22 00:00:00,2.73,275,4G
10147,158,2022-07-08 00:00:00,0.74,48,4G
10148,216,2023-03-02 00:00:00,0.34,95,4G
10149,490,2022-03-20 00:00:00,0.15,58,5G
10150,158,2023-10-20 00:00:00,0.91,230,4G
10151,462,2022-07-01 00:00:00,0.43,176,4G
10152,134,2023-05-14 00:00:00,0.48,89,4G
10153,67,2024-03-08 00:00:00,3.58,281,4G
10154,336,2024-02-01 00:00:00,0.04,35,5G
10155,7,2024-05-15 00:00:00,2.04,170,5G
10156,436,2024-04-05 00:00:00,1.19,125,5G
10157,14,2023-12-09 00:00:00,1.77,298,5G
10158,73,2024-04-14 00:00:00,2.07,203,4G
10159,399,2022-03-12 00:00:00,0.94,288,4G
10160,405,2022-09-05 00:00:00,0.87,96,4G
10161,163,2022-05-26 00:00:00,3.31,237,5G
10162,66,2023-09-10 00:00:00,5.13,172,5G
10163,347,2024-02-14 00:00:00,0.53,87,4G
10164,130,2022-10-23 00:00:00,0.26,16,4G
10165,419,2023-08-05 00:00:00,5.7,139,4G
10166,466,2023-04-15 00:00:00,1.08,253,5G
10167,206,2023-05-21 00:00:00,2,277,4G
10168,276,2022-07-12 00:00:00,1.11,150,5G
10169,466,2022-03-09 00:00:00,0.34,139,4G
10170,256,2023-05-09 00:00:00,2.22,113,4G
10171,266,2024-03-27 00:00:00,1.86,67,5G
10172,25,2022-02-21 00:00:00,0.57,178,4G
10173,450,2024-05-31 00:00:00,1.5,124,5G
10174,281,2022-12-29 00:00:00,3.99,232,5G
10175,253,2024-03-07 00:00:00,2.23,146,4G
10176,310,2023-04-19 00:00:00,0.25,110,5G
10177,289,2024-04-25 00:00:00,1.99,237,4G
10178,164,2023-06-05 00:00:00,3.03,2,4G
10179,95,2024-02-02 00:00:00,3.93,210,5G
10180,270,2023-03-07 00:00:00,2.48,24,4G
10181,321,2024-04-23 00:00:00,0.41,183,4G
10182,110,2022-10-25 00:00:00,3.1,60,5G
10183,336,2023-03-11 00:00:00,2.83,122,4G
10184,310,2023-11-27 00:00:00,0.06,54,5G
10185,238,2023-11-22 00:00:00,1.33,162,5G
10186,381,2022-07-17 00:00:00,1.01,186,4G
10187,436,2022-05-08 00:00:00,2.77,38,4G
10188,387,2023-06-16 00:00:00,0.61,184,4G
10189,483,2023-02-15 00:00:00,2.23,82,4G
10190,425,2024-04-19 00:00:00,6.11,194,5G
10191,390,2022-03-06 00:00:00,4,33,5G
10192,25,2023-11-25 00:00:00,6.36,112,4G
10193,141,2022-08-29 00:00:00,9.6,229,4G
10194,117,2023-01-04 00:00:00,0.03,282,5G
10195,482,2023-06-20 00:00:00,2.44,286,4G
10196,392,2023-01-19 00:00:00,1.33,154,5G
10197,405,2023-03-07 00:00:00,4.91,164,5G
10198,482,2022-03-24 00:00:00,0.73,181,4G
10199,452,2024-04-10 00:00:00,9.91,238,4G
10200,25,2023-11-28 00:00:00,2.38,136,5G
10201,79,2024-04-07 00:00:00,3.94,265,4G
10202,68,2023-09-03 00:00:00,0.22,186,4G
10203,173,2023-07-28 00:00:00,0.51,39,5G
10204,444,2022-10-13 00:00:00,3.55,166,5G
10205,12,2023-06-18 00:00:00,0.06,259,4G
10206,288,2023-04-04 00:00:00,4.24,142,4G
10207,128,2022-07-31 00:00:00,0.04,203,4G
10208,96,2022-05-06 00:00:00,2.68,175,4G
10209,92,2023-02-17 00:00:00,1.14,261,4G
10210,141,2023-05-14 00:00:00,2.36,251,4G
10211,31,2023-03-01 00:00:00,2.98,199,4G
10212,334,2023-07-08 00:00:00,1.05,198,4G
10213,20,2023-09-02 00:00:00,0.29,195,4G
10214,146,2023-06-27 00:00:00,0.18,76,4G
10215,477,2022-06-07 00:00:00,2.22,18,4G
10216,316,2022-04-22 00:00:00,1.84,61,4G
10217,447,2023-02-06 00:00:00,3.39,280,5G
10218,390,2024-01-29 00:00:00,1.78,249,4G
10219,160,2022-05-02 00:00:00,1.37,226,4G
10220,349,2022-09-30 00:00:00,1.27,126,5G
10221,43,2022-10-21 00:00:00,0.07,57,4G
10222,254,2023-02-02 00:00:00,1.02,203,5G
10223,130,2023-04-16 00:00:00,9.33,242,4G
10224,60,2022-07-26 00:00:00,5.17,251,4G
10225,151,2022-04-20 00:00:00,1,198,4G
10226,467,2023-03-16 00:00:00,2.22,239,4G
10227,287,2022-10-05 00:00:00,4.7,138,4G
10228,499,2023-07-22 00:00:00,1.46,121,4G
10229,5,2024-06-05 00:00:00,0.05,48,4G
10230,467,2023-07-23 00:00:00,0.19,114,5G
10231,418,2023-04-27 00:00:00,1.79,250,4G
10232,266,2024-03-13 00:00:00,8.72,6,4G
10233,345,2022-04-24 00:00:00,2.95,218,4G
10234,130,2024-06-11 00:00:00,0.18,76,4G
10235,382,2024-06-15 00:00:00,0.52,178,5G
10236,267,2024-03-30 00:00:00,3.69,144,4G
10237,178,2024-05-02 00:00:00,4.6,153,4G
10238,253,2023-04-22 00:00:00,2.4,120,5G
10239,415,2023-12-11 00:00:00,2.59,123,5G
10240,56,2022-11-17 00:00:00,0.07,149,4G
10241,463,2022-06-28 00:00:00,4.41,267,4G
10242,457,2024-06-15 00:00:00,3.88,0,4G
10243,471,2022-08-07 00:00:00,0.75,160,4G
10244,83,2024-02-28 00:00:00,3.08,243,4G
10245,393,2023-06-12 00:00:00,0.6,250,4G
10246,99,2023-05-07 00:00:00,0.1,63,5G
10247,149,2024-06-09 00:00:00,0.56,298,4G
10248,329,2022-03-02 00:00:00,0.49,247,4G
10249,156,2022-02-23 00:00:00,1.03,296,4G
10250,190,2023-11-11 00:00:00,1.36,114,4G
10251,494,2023-06-22 00:00:00,1.78,294,4G
10252,371,2024-04-27 00:00:00,1.62,0,4G
10253,263,2022-03-06 00:00:00,0.79,40,4G
10254,80,2023-09-04 00:00:00,0.07,172,4G
10255,400,2023-08-09 00:00:00,2.32,87,4G
10256,252,2023-12-05 00:00:00,1.26,97,4G
10257,97,2022-06-20 00:00:00,0.89,87,4G
10258,260,2022-09-30 00:00:00,5.04,250,4G
10259,260,2024-06-07 00:00:00,3.43,140,4G
10260,103,2023-11-30 00:00:00,4.88,70,4G
10261,40,2023-06-19 00:00:00,1.71,136,5G
10262,273,2023-01-26 00:00:00,0.35,98,5G
10263,101,2023-11-24 00:00:00,2.98,150,4G
10264,359,2022-11-23 00:00:00,0.58,174,5G
10265,380,2022-04-18 00:00:00,1.46,166,4G
10266,308,2024-04-26 00:00:00,0.17,256,5G
10267,221,2022-06-11 00:00:00,4.36,223,4G
10268,308,2024-03-24 00:00:00,0.34,64,4G
10269,420,2023-03-28 00:00:00,5.84,68,4G
10270,124,2022-07-25 00:00:00,4.99,66,4G
10271,422,2023-08-13 00:00:00,1.56,49,5G
10272,231,2022-01-16 00:00:00,3.41,90,4G
10273,178,2022-11-23 00:00:00,2.42,114,4G
10274,63,2023-08-31 00:00:00,4.06,56,4G
10275,485,2023-10-21 00:00:00,1.41,17,4G
10276,116,2022-01-02 00:00:00,3.85,271,4G
10277,191,2022-01-10 00:00:00,1.55,129,4G
10278,62,2023-03-10 00:00:00,7.07,268,4G
10279,256,2022-05-05 00:00:00,1.67,79,5G
10280,483,2022-03-22 00:00:00,1.55,298,4G
10281,7,2023-04-30 00:00:00,3.84,201,4G
10282,155,2023-10-14 00:00:00,4.31,224,4G
10283,92,2024-04-17 00:00:00,2.02,158,5G
10284,470,2022-05-30 00:00:00,0.5,203,4G
10285,14,2024-03-10 00:00:00,1.58,136,4G
10286,455,2024-05-22 00:00:00,8.61,72,5G
10287,229,2022-12-06 00:00:00,3.5,47,4G
10288,86,2022-05-09 00:00:00,4.17,17,4G
10289,133,2023-03-14 00:00:00,0.08,266,4G
10290,183,2024-01-21 00:00:00,1.58,18,5G
10291,386,2023-05-16 00:00:00,2.6,99,5G
10292,62,2022-02-27 00:00:00,4.43,115,5G
10293,219,2022-07-17 00:00:00,0.13,73,4G
10294,405,2022-07-30 00:00:00,4.78,279,4G
10295,246,2022-02-14 00:00:00,1.99,268,4G
10296,230,2022-04-07 00:00:00,0.55,124,5G
10297,79,2022-10-06 00:00:00,0.95,115,5G
10298,149,2023-06-19 00:00:00,0.83,173,4G
10299,138,2023-02-14 00:00:00,1.89,180,4G
10300,471,2023-04-06 00:00:00,0.13,225,4G
10301,314,2023-01-26 00:00:00,0.43,156,4G
10302,376,2024-04-26 00:00:00,4.19,163,4G
10303,423,2022-02-13 00:00:00,0.36,70,4G
10304,389,2022-01-27 00:00:00,0.66,221,4G
10305,65,2024-03-04 00:00:00,1.51,125,4G
10306,13,2022-04-07 00:00:00,1.82,144,5G
10307,213,2023-07-02 00:00:00,3.61,175,5G
10308,474,2023-09-13 00:00:00,1.48,151,5G
10309,242,2023-07-21 00:00:00,3.9,181,5G
10310,493,2023-12-05 00:00:00,2.41,84,4G
10311,213,2022-08-07 00:00:00,0.3,120,4G
10312,181,2022-07-04 00:00:00,0.42,128,5G
10313,338,2022-03-10 00:00:00,1.44,5,4G
10314,485,2024-04-08 00:00:00,1.26,182,4G
10315,173,2022-05-10 00:00:00,3.4,37,4G
10316,160,2023-07-21 00:00:00,2.17,115,5G
10317,164,2024-06-08 00:00:00,1.23,101,4G
10318,465,2023-09-01 00:00:00,0.47,7,4G
10319,483,2024-04-27 00:00:00,0.64,217,4G
10320,497,2023-08-22 00:00:00,2.14,206,5G
10321,188,2024-03-16 00:00:00,1.38,77,4G
10322,395,2023-09-23 00:00:00,1.81,54,4G
10323,191,2023-12-21 00:00:00,0.47,227,4G
10324,405,2022-11-30 00:00:00,2.72,87,5G
10325,308,2022-06-03 00:00:00,4.79,9,5G
10326,256,2023-07-01 00:00:00,0.75,289,4G
10327,183,2022-03-20 00:00:00,1.69,163,4G
10328,117,2023-08-02 00:00:00,9.28,238,5G
10329,282,2024-05-04 00:00:00,1.01,143,4G
10330,196,2023-02-17 00:00:00,2.26,17,5G
10331,34,2023-06-30 00:00:00,0.24,70,4G
10332,52,2023-09-01 00:00:00,2.33,174,4G
10333,112,2022-06-18 00:00:00,0.23,287,5G
10334,252,2023-11-12 00:00:00,8,298,4G
10335,82,2023-10-25 00:00:00,3.14,247,4G
10336,232,2023-08-06 00:00:00,3.88,192,4G
10337,227,2023-05-30 00:00:00,3.04,267,5G
10338,233,2022-11-10 00:00:00,2.23,203,4G
10339,221,2022-02-01 00:00:00,1.49,122,4G
10340,436,2022-10-14 00:00:00,4.89,57,5G
10341,413,2023-08-17 00:00:00,7.86,200,4G
10342,422,2022-02-12 00:00:00,1.73,111,4G
10343,42,2023-09-09 00:00:00,6.7,127,4G
10344,21,2022-01-01 00:00:00,2.19,35,5G
10345,42,2023-07-27 00:00:00,1.93,233,4G
10346,397,2022-09-27 00:00:00,1.52,46,4G
10347,113,2022-06-29 00:00:00,0.59,114,4G
10348,105,2024-01-06 00:00:00,0.01,254,5G
10349,192,2023-06-02 00:00:00,0.69,222,5G
10350,17,2022-04-13 00:00:00,1.78,123,4G
10351,120,2022-01-10 00:00:00,1.19,159,4G
10352,393,2023-08-06 00:00:00,1.49,95,5G
10353,425,2022-03-31 00:00:00,9.86,106,4G
10354,129,2022-08-14 00:00:00,1.08,119,5G
10355,130,2023-11-01 00:00:00,1.5,100,4G
10356,60,2024-01-10 00:00:00,0.36,102,4G
10357,48,2022-05-06 00:00:00,0.12,165,4G
10358,29,2022-07-28 00:00:00,3.73,185,5G
10359,97,2022-04-07 00:00:00,2.11,31,4G
10360,10,2022-03-15 00:00:00,3.58,65,4G
10361,242,2023-09-19 00:00:00,0.41,178,4G
10362,314,2022-07-10 00:00:00,2.12,266,4G
10363,444,2023-11-13 00:00:00,0.73,36,4G
10364,232,2024-03-29 00:00:00,0.65,200,4G
10365,277,2023-12-17 00:00:00,0.03,48,5G
10366,284,2022-02-25 00:00:00,0.35,274,4G
10367,203,2023-12-21 00:00:00,0.93,167,5G
10368,247,2023-07-07 00:00:00,0.31,262,4G
10369,290,2022-02-01 00:00:00,10.65,132,4G
10370,264,2023-06-11 00:00:00,0.92,297,4G
10371,443,2023-07-28 00:00:00,0.35,175,5G
10372,214,2023-10-29 00:00:00,0.55,10,5G
10373,200,2022-10-11 00:00:00,2.22,200,4G
10374,433,2023-12-22 00:00:00,0.17,296,5G
10375,79,2024-04-11 00:00:00,4.96,2,4G
10376,401,2023-05-09 00:00:00,8.14,213,4G
10377,444,2022-07-06 00:00:00,0.71,295,4G
10378,343,2023-05-13 00:00:00,1.5,31,4G
10379,344,2023-03-18 00:00:00,0.06,47,4G
10380,173,2022-05-10 00:00:00,2.56,251,5G
10381,467,2023-10-01 00:00:00,1.34,198,4G
10382,69,2022-10-19 00:00:00,0.79,88,5G
10383,416,2022-04-24 00:00:00,0.58,108,4G
10384,428,2022-07-18 00:00:00,2.65,290,4G
10385,449,2022-01-13 00:00:00,1.35,107,5G
10386,87,2022-09-28 00:00:00,0.5,39,5G
10387,101,2023-08-24 00:00:00,2.92,51,5G
10388,8,2022-08-03 00:00:00,2.08,111,4G
10389,333,2023-03-20 00:00:00,4.89,294,5G
10390,200,2024-02-29 00:00:00,0.31,67,5G
10391,87,2023-05-27 00:00:00,3.85,188,4G
10392,43,2023-03-23 00:00:00,2.8,208,4G
10393,385,2023-12-16 00:00:00,0.31,64,4G
10394,109,2022-03-15 00:00:00,2.97,61,4G
10395,435,2023-06-21 00:00:00,1.46,257,4G
10396,408,2022-04-11 00:00:00,7.25,133,5G
10397,483,2022-06-25 00:00:00,0.38,121,4G
10398,152,2023-03-03 00:00:00,2.57,170,5G
10399,17,2022-04-27 00:00:00,1.2,209,4G
10400,133,2022-06-15 00:00:00,7.86,295,4G
10401,148,2022-02-10 00:00:00,1,88,4G
10402,277,2023-03-05 00:00:00,8.19,166,4G
10403,232,2022-12-10 00:00:00,5.79,27,5G
10404,314,2023-02-28 00:00:00,0.79,237,5G
10405,415,2023-01-01 00:00:00,4.07,62,4G
10406,366,2022-04-30 00:00:00,13.57,254,5G
10407,228,2023-09-01 00:00:00,0.73,40,4G
10408,139,2023-10-19 00:00:00,1.44,28,4G
10409,436,2023-12-29 00:00:00,1.84,278,4G
10410,399,2022-08-17 00:00:00,0.87,79,4G
10411,211,2024-04-04 00:00:00,0.04,50,4G
10412,391,2022-05-10 00:00:00,0.62,111,4G
10413,499,2022-12-18 00:00:00,0.83,89,4G
10414,28,2024-06-07 00:00:00,1.47,228,5G
10415,51,2022-11-14 00:00:00,0.47,149,4G
10416,491,2023-10-11 00:00:00,5.16,242,4G
10417,442,2024-04-15 00:00:00,3.05,137,4G
10418,261,2022-12-03 00:00:00,0.22,134,5G
10419,261,2022-09-30 00:00:00,2.63,88,5G
10420,350,2022-04-27 00:00:00,2.65,14,5G
10421,352,2024-03-28 00:00:00,7.82,173,4G
10422,8,2023-01-03 00:00:00,0.01,89,4G
10423,320,2022-04-04 00:00:00,0.71,212,5G
10424,138,2022-06-17 00:00:00,6.57,60,4G
10425,38,2023-12-16 00:00:00,6.73,219,4G
10426,111,2022-12-07 00:00:00,3.19,60,4G
10427,480,2023-10-23 00:00:00,3.63,165,4G
10428,368,2023-11-26 00:00:00,0.24,11,4G
10429,220,2022-06-01 00:00:00,1.8,215,4G
10430,337,2023-08-09 00:00:00,0.66,76,4G
10431,223,2024-05-26 00:00:00,0.5,231,4G
10432,136,2022-10-01 00:00:00,4.16,111,5G
10433,256,2023-07-08 00:00:00,0.36,65,4G
10434,360,2023-05-11 00:00:00,1.58,181,4G
10435,409,2023-12-25 00:00:00,6.97,203,4G
10436,329,2022-04-11 00:00:00,0.51,205,4G
10437,450,2023-07-11 00:00:00,9.54,285,4G
10438,463,2022-03-23 00:00:00,12.91,104,4G
10439,434,2023-06-13 00:00:00,2.03,241,4G
10440,451,2022-03-14 00:00:00,0.47,234,4G
10441,49,2022-01-14 00:00:00,0.95,175,5G
10442,292,2023-03-09 00:00:00,1.38,210,4G
10443,382,2022-06-06 00:00:00,0.93,30,4G
10444,324,2024-01-05 00:00:00,0.82,234,4G
10445,78,2022-05-12 00:00:00,8.96,241,5G
10446,105,2022-12-04 00:00:00,0.42,152,4G
10447,169,2023-02-08 00:00:00,3.3,195,5G
10448,217,2023-01-11 00:00:00,0,268,4G
10449,378,2024-06-06 00:00:00,2.27,169,4G
10450,119,2023-07-13 00:00:00,6.19,231,4G
10451,190,2022-04-17 00:00:00,0.85,183,4G
10452,255,2023-09-12 00:00:00,0.51,274,4G
10453,370,2022-09-22 00:00:00,2.64,31,4G
10454,266,2022-07-24 00:00:00,3.12,176,4G
10455,149,2022-03-20 00:00:00,2.91,64,4G
10456,164,2022-06-04 00:00:00,0.96,197,4G
10457,140,2024-02-22 00:00:00,0.73,26,5G
10458,347,2022-09-04 00:00:00,7.8,150,5G
10459,488,2023-06-15 00:00:00,6.42,267,4G
10460,258,2024-05-07 00:00:00,1.53,84,5G
10461,374,2023-06-22 00:00:00,4.68,65,4G
10462,269,2023-12-30 00:00:00,1.51,132,4G
10463,181,2022-06-03 00:00:00,1.38,81,4G
10464,160,2022-06-03 00:00:00,0.43,97,4G
10465,351,2023-11-17 00:00:00,1.39,72,4G
10466,400,2022-04-02 00:00:00,1.93,29,4G
10467,288,2023-03-09 00:00:00,0.06,124,4G
10468,288,2022-12-04 00:00:00,1.47,209,4G
10469,380,2023-04-25 00:00:00,3.8,271,5G
10470,226,2023-11-24 00:00:00,2.85,212,5G
10471,11,2022-05-11 00:00:00,2.52,132,4G
10472,10,2023-03-26 00:00:00,6.01,156,4G
10473,271,2024-03-20 00:00:00,0.05,46,4G
10474,273,2024-02-26 00:00:00,2.04,21,4G
10475,424,2022-09-30 00:00:00,3.87,82,4G
10476,402,2023-08-11 00:00:00,1.95,233,4G
10477,183,2022-06-26 00:00:00,0.98,59,4G
10478,457,2023-11-27 00:00:00,0.37,187,4G
10479,153,2024-04-10 00:00:00,5.46,57,5G
10480,488,2023-10-05 00:00:00,1.59,258,5G
10481,315,2024-05-24 00:00:00,5.26,161,4G
10482,334,2022-02-18 00:00:00,2.2,1,4G
10483,124,2023-07-21 00:00:00,2.8,270,5G
10484,473,2023-10-28 00:00:00,4.08,142,4G
10485,114,2022-12-21 00:00:00,2.69,187,4G
10486,278,2023-12-13 00:00:00,1.27,223,4G
10487,500,2022-11-04 00:00:00,1.8,179,4G
10488,414,2024-05-17 00:00:00,4.06,22,5G
10489,468,2024-06-03 00:00:00,1.17,36,4G
10490,213,2023-09-22 00:00:00,1.23,106,4G
10491,172,2024-02-14 00:00:00,0.25,296,4G
10492,288,2022-02-15 00:00:00,6.15,228,4G
10493,435,2022-10-29 00:00:00,0.24,96,4G
10494,174,2024-05-17 00:00:00,2.61,280,5G
10495,113,2023-02-12 00:00:00,1.33,109,4G
10496,376,2022-07-08 00:00:00,1.3,36,4G
10497,405,2024-04-01 00:00:00,2.85,39,4G
10498,483,2024-04-09 00:00:00,0.17,84,4G
10499,122,2022-05-09 00:00:00,2.25,187,4G
10500,32,2023-07-15 00:00:00,3.7,239,4G
10501,222,2023-06-21 00:00:00,4.4,18,4G
10502,119,2022-09-23 00:00:00,0.47,260,4G
10503,39,2022-04-28 00:00:00,5.69,157,4G
10504,497,2023-04-09 00:00:00,2.67,111,5G
10505,268,2022-05-24 00:00:00,5.34,143,4G
10506,233,2023-03-18 00:00:00,1.66,255,4G
10507,431,2022-07-19 00:00:00,1.95,17,4G
10508,18,2022-06-06 00:00:00,6.28,183,4G
10509,149,2023-05-02 00:00:00,5.75,286,4G
10510,397,2024-05-09 00:00:00,1.49,130,4G
10511,149,2022-05-14 00:00:00,0.8,280,4G
10512,126,2022-05-28 00:00:00,1.25,244,4G
10513,392,2022-12-02 00:00:00,1.23,7,4G
10514,302,2022-03-12 00:00:00,0.85,192,4G
10515,360,2022-08-21 00:00:00,0.78,6,4G
10516,238,2022-11-30 00:00:00,4.93,135,4G
