issue_id,customer_id,issue_date,issue_type,resolution_time_hrs,resolved
20069,343,2024-02-10 00:00:00,Call Drop,71,Yes
20070,74,2022-07-06 00:00:00,Slow Internet,71,No
20071,135,2023-06-09 00:00:00,No Signal,4,Yes
20072,428,2022-08-11 00:00:00,Call Drop,61,No
20073,456,2023-04-10 00:00:00,No Signal,45,Yes
20074,269,2023-02-23 00:00:00,Call Drop,50,Yes
20075,350,2022-03-28 00:00:00,Slow Internet,50,Yes
20076,466,2022-09-16 00:00:00,Slow Internet,48,Yes
20077,78,2022-06-30 00:00:00,No Signal,23,Yes
20078,459,2022-11-07 00:00:00,Slow Internet,8,Yes
20079,380,2022-06-22 00:00:00,Slow Internet,29,Yes
20080,490,2022-11-18 00:00:00,Call Drop,43,Yes
20081,125,2023-12-08 00:00:00,Slow Internet,53,Yes
20082,38,2022-12-06 00:00:00,Call Drop,6,Yes
20083,269,2023-05-11 00:00:00,Call Drop,24,Yes
20084,310,2022-09-02 00:00:00,Call Drop,14,Yes
20085,106,2023-05-20 00:00:00,Slow Internet,52,Yes
20086,44,2022-11-25 00:00:00,No Signal,70,Yes
20087,225,2024-05-29 00:00:00,No Signal,4,Yes
20088,242,2022-07-15 00:00:00,Slow Internet,58,Yes
20089,397,2022-03-03 00:00:00,Call Drop,37,Yes
20090,153,2022-01-25 00:00:00,Slow Internet,48,Yes
20091,24,2023-07-18 00:00:00,No Signal,39,Yes
20092,124,2023-07-16 00:00:00,Call Drop,66,Yes
20093,285,2023-01-13 00:00:00,Slow Internet,13,Yes
20094,484,2024-06-15 00:00:00,Call Drop,66,Yes
20095,454,2022-10-22 00:00:00,Call Drop,60,Yes
20096,402,2022-02-21 00:00:00,No Signal,41,Yes
20097,348,2024-04-23 00:00:00,Call Drop,32,Yes
20098,261,2022-02-09 00:00:00,Slow Internet,52,Yes
20099,146,2024-01-14 00:00:00,Call Drop,5,Yes
20100,191,2023-07-26 00:00:00,Call Drop,67,Yes
20101,381,2023-12-29 00:00:00,Slow Internet,66,Yes
20102,165,2023-04-02 00:00:00,No Signal,52,Yes
20103,71,2024-05-27 00:00:00,No Signal,49,Yes
20104,439,2024-05-01 00:00:00,Slow Internet,29,Yes
20105,201,2023-12-10 00:00:00,Call Drop,38,Yes
20106,355,2024-02-27 00:00:00,Slow Internet,70,Yes
20107,12,2024-05-02 00:00:00,Slow Internet,8,Yes
20108,52,2022-01-02 00:00:00,Slow Internet,59,Yes
20109,441,2023-04-14 00:00:00,No Signal,55,Yes
20110,256,2022-04-16 00:00:00,Call Drop,2,Yes
20111,302,2022-08-04 00:00:00,Slow Internet,26,Yes
20112,360,2024-02-16 00:00:00,No Signal,63,No
20113,300,2023-11-10 00:00:00,No Signal,17,Yes
20114,487,2024-01-29 00:00:00,Call Drop,59,Yes
20115,408,2023-02-18 00:00:00,Slow Internet,16,Yes
20116,9,2022-07-29 00:00:00,Call Drop,58,Yes
20117,140,2022-02-27 00:00:00,Slow Internet,64,No
20118,100,2022-02-12 00:00:00,No Signal,50,Yes
20119,485,2022-05-18 00:00:00,No Signal,26,Yes
20120,137,2023-09-13 00:00:00,Call Drop,17,No
20121,359,2023-05-04 00:00:00,Slow Internet,46,Yes
20122,366,2023-07-14 00:00:00,Call Drop,68,Yes
20123,372,2023-09-30 00:00:00,Slow Internet,50,No
20124,22,2023-04-14 00:00:00,Call Drop,43,Yes
20125,145,2023-12-27 00:00:00,No Signal,48,Yes
20126,161,2023-10-02 00:00:00,Call Drop,68,Yes
20127,249,2023-01-24 00:00:00,Slow Internet,19,Yes
20128,175,2022-07-17 00:00:00,Call Drop,25,Yes
20129,88,2022-07-21 00:00:00,Slow Internet,18,Yes
20130,399,2022-07-11 00:00:00,Call Drop,51,Yes
20131,477,2022-04-17 00:00:00,Slow Internet,18,Yes
20132,480,2023-12-07 00:00:00,Slow Internet,58,Yes
20133,33,2022-11-23 00:00:00,Slow Internet,64,Yes
20134,477,2024-01-20 00:00:00,Call Drop,71,Yes
20135,271,2023-10-06 00:00:00,Call Drop,57,Yes
20136,283,2022-12-23 00:00:00,No Signal,17,Yes
20137,226,2023-08-18 00:00:00,Slow Internet,59,Yes
20138,445,2023-05-16 00:00:00,No Signal,67,Yes
20139,452,2022-10-11 00:00:00,No Signal,15,No
20140,497,2023-04-13 00:00:00,Slow Internet,26,Yes
20141,112,2023-05-23 00:00:00,No Signal,48,Yes
20142,82,2024-01-04 00:00:00,Call Drop,14,Yes
20143,213,2022-04-16 00:00:00,No Signal,9,Yes
20144,304,2022-10-21 00:00:00,Call Drop,7,Yes
20145,8,2022-03-07 00:00:00,Slow Internet,55,Yes
20146,134,2022-07-14 00:00:00,Slow Internet,12,Yes
20147,447,2022-07-07 00:00:00,Slow Internet,17,Yes
20148,118,2022-02-16 00:00:00,No Signal,8,Yes
20149,84,2022-12-28 00:00:00,Slow Internet,42,Yes
20150,258,2024-05-20 00:00:00,Slow Internet,37,Yes
20151,243,2023-06-21 00:00:00,Call Drop,20,Yes
20152,237,2023-08-01 00:00:00,No Signal,1,Yes
20153,150,2023-05-02 00:00:00,No Signal,9,Yes
20154,374,2024-04-26 00:00:00,Slow Internet,24,Yes
20155,21,2023-08-02 00:00:00,No Signal,34,Yes
20156,134,2023-12-10 00:00:00,Slow Internet,36,Yes
20157,379,2022-09-03 00:00:00,Call Drop,4,Yes
20158,96,2024-03-18 00:00:00,No Signal,29,Yes
20159,454,2023-09-04 00:00:00,No Signal,16,Yes
20160,13,2022-06-27 00:00:00,Call Drop,8,Yes
20161,1,2022-04-25 00:00:00,No Signal,39,Yes
20162,150,2023-11-11 00:00:00,Slow Internet,58,Yes
20163,117,2023-09-23 00:00:00,No Signal,12,Yes
20164,152,2022-06-14 00:00:00,No Signal,44,Yes
20165,64,2022-08-07 00:00:00,Call Drop,4,Yes
20166,425,2022-07-16 00:00:00,Call Drop,25,Yes
20167,478,2023-02-05 00:00:00,Slow Internet,70,Yes
20168,150,2024-04-09 00:00:00,No Signal,67,Yes
20169,317,2024-01-19 00:00:00,No Signal,39,Yes
20170,364,2023-11-12 00:00:00,Call Drop,24,Yes
20171,12,2022-03-17 00:00:00,Slow Internet,6,Yes
20172,90,2023-03-02 00:00:00,No Signal,33,Yes
20173,388,2022-10-14 00:00:00,Slow Internet,48,Yes
20174,83,2023-06-29 00:00:00,No Signal,67,Yes
20175,464,2022-10-26 00:00:00,Call Drop,2,No
20176,250,2024-05-10 00:00:00,Call Drop,38,Yes
20177,384,2024-01-12 00:00:00,Call Drop,40,Yes
20178,396,2023-12-08 00:00:00,Call Drop,56,Yes
20179,33,2022-10-21 00:00:00,Call Drop,21,Yes
20180,149,2024-03-19 00:00:00,Call Drop,35,Yes
20181,128,2024-06-04 00:00:00,Slow Internet,67,Yes
20182,100,2023-03-23 00:00:00,Call Drop,60,Yes
20183,457,2023-02-18 00:00:00,Slow Internet,23,Yes
20184,487,2023-03-07 00:00:00,Call Drop,65,Yes
20185,362,2024-02-29 00:00:00,No Signal,63,Yes
20186,493,2022-08-18 00:00:00,No Signal,23,No
20187,328,2022-04-06 00:00:00,No Signal,42,Yes
20188,212,2024-06-13 00:00:00,Slow Internet,64,Yes
20189,74,2023-03-15 00:00:00,Call Drop,66,Yes
20190,96,2022-06-20 00:00:00,Slow Internet,41,Yes
20191,92,2022-11-13 00:00:00,Call Drop,20,Yes
20192,330,2024-04-21 00:00:00,No Signal,9,Yes
20193,328,2023-06-28 00:00:00,Slow Internet,57,Yes
20194,436,2023-05-06 00:00:00,Call Drop,17,Yes
20195,175,2023-01-23 00:00:00,Slow Internet,18,Yes
20196,225,2023-07-11 00:00:00,Slow Internet,63,Yes
20197,315,2022-03-13 00:00:00,No Signal,26,Yes
20198,175,2023-06-16 00:00:00,No Signal,13,Yes
20199,56,2022-08-27 00:00:00,No Signal,17,Yes
20200,497,2023-12-12 00:00:00,No Signal,26,Yes
20201,269,2023-07-31 00:00:00,No Signal,6,Yes
20202,428,2023-12-01 00:00:00,Call Drop,4,Yes
20203,35,2022-03-30 00:00:00,Call Drop,7,Yes
20204,119,2023-12-14 00:00:00,No Signal,17,No
20205,371,2023-06-19 00:00:00,No Signal,50,Yes
20206,413,2024-03-18 00:00:00,No Signal,6,Yes
20207,56,2023-10-04 00:00:00,Slow Internet,30,Yes
20208,389,2022-06-03 00:00:00,No Signal,56,Yes
20209,451,2023-08-13 00:00:00,Call Drop,39,Yes
20210,309,2022-07-09 00:00:00,Call Drop,14,Yes
20211,357,2024-03-22 00:00:00,Slow Internet,54,No
20212,376,2023-02-19 00:00:00,Call Drop,22,Yes
20213,316,2022-06-03 00:00:00,No Signal,57,Yes
20214,105,2023-09-17 00:00:00,Slow Internet,41,Yes
20215,390,2022-12-05 00:00:00,Slow Internet,10,Yes
20216,176,2023-09-21 00:00:00,Call Drop,2,Yes
20217,106,2023-06-01 00:00:00,No Signal,67,No
20218,80,2024-06-07 00:00:00,No Signal,48,No
20219,163,2024-04-17 00:00:00,No Signal,42,No
20220,402,2022-02-04 00:00:00,Slow Internet,11,Yes
20221,267,2024-02-23 00:00:00,Call Drop,12,Yes
20222,51,2023-11-02 00:00:00,Call Drop,14,Yes
20223,377,2023-12-23 00:00:00,Call Drop,30,Yes
20224,279,2023-06-10 00:00:00,No Signal,60,Yes
20225,303,2023-06-21 00:00:00,Slow Internet,30,Yes
20226,75,2024-04-26 00:00:00,Slow Internet,38,Yes
20227,443,2022-08-06 00:00:00,Call Drop,65,No
20228,441,2022-09-11 00:00:00,Call Drop,47,Yes
20229,349,2022-07-22 00:00:00,Slow Internet,39,Yes
20230,127,2022-04-11 00:00:00,Call Drop,49,Yes
20231,246,2022-12-27 00:00:00,Slow Internet,58,Yes
20232,312,2024-01-11 00:00:00,Slow Internet,17,Yes
20233,234,2023-12-12 00:00:00,Call Drop,6,Yes
20234,155,2022-06-27 00:00:00,Slow Internet,15,No
20235,73,2022-10-03 00:00:00,Slow Internet,67,Yes
20236,419,2022-11-08 00:00:00,Call Drop,28,Yes
20237,439,2023-10-04 00:00:00,Call Drop,44,Yes
20238,137,2023-02-14 00:00:00,Call Drop,18,No
20239,274,2024-03-01 00:00:00,Slow Internet,32,Yes
20240,44,2022-10-15 00:00:00,Call Drop,69,Yes
20241,247,2023-10-15 00:00:00,Call Drop,44,Yes
20242,149,2023-06-09 00:00:00,Slow Internet,70,Yes
20243,56,2023-02-05 00:00:00,Slow Internet,63,Yes
20244,176,2022-08-05 00:00:00,Call Drop,58,Yes
20245,356,2023-11-29 00:00:00,Call Drop,47,No
20246,257,2023-04-15 00:00:00,Slow Internet,17,Yes
20247,411,2022-01-27 00:00:00,Slow Internet,39,Yes
20248,301,2023-12-31 00:00:00,No Signal,59,No
20249,63,2023-02-26 00:00:00,Slow Internet,7,Yes
20250,314,2022-01-14 00:00:00,Slow Internet,63,Yes
20251,424,2023-05-16 00:00:00,No Signal,57,Yes
20252,63,2023-10-16 00:00:00,Call Drop,34,Yes
20253,294,2022-11-21 00:00:00,No Signal,53,Yes
20254,29,2022-11-20 00:00:00,Slow Internet,66,Yes
20255,40,2023-07-21 00:00:00,No Signal,48,Yes
20256,147,2023-12-04 00:00:00,No Signal,60,No
20257,88,2022-10-12 00:00:00,No Signal,43,Yes
20258,56,2022-03-30 00:00:00,No Signal,4,Yes
20259,300,2022-02-14 00:00:00,No Signal,52,Yes
20260,193,2023-10-06 00:00:00,No Signal,32,Yes
20261,100,2023-05-13 00:00:00,Call Drop,51,Yes
20262,215,2023-05-13 00:00:00,No Signal,10,Yes
20263,141,2023-08-01 00:00:00,No Signal,12,Yes
20264,414,2024-03-01 00:00:00,No Signal,39,Yes
20265,49,2024-04-15 00:00:00,No Signal,68,No
20266,499,2023-10-22 00:00:00,Slow Internet,10,Yes
20267,115,2022-05-25 00:00:00,No Signal,10,No
20268,229,2023-06-02 00:00:00,No Signal,23,Yes
20269,252,2022-03-23 00:00:00,No Signal,13,Yes
20270,75,2023-09-27 00:00:00,Call Drop,48,Yes
20271,191,2022-06-16 00:00:00,No Signal,44,Yes
20272,199,2024-01-19 00:00:00,Slow Internet,64,Yes
20273,163,2022-04-15 00:00:00,Call Drop,40,Yes
20274,139,2024-03-12 00:00:00,Slow Internet,6,Yes
20275,49,2023-05-03 00:00:00,Call Drop,43,Yes
20276,363,2024-01-20 00:00:00,Call Drop,32,Yes
20277,367,2022-11-06 00:00:00,No Signal,49,Yes
20278,115,2022-03-23 00:00:00,No Signal,19,Yes
20279,168,2022-04-04 00:00:00,Call Drop,52,Yes
20280,496,2022-11-17 00:00:00,No Signal,52,Yes
20281,277,2022-12-09 00:00:00,No Signal,34,No
20282,47,2024-03-07 00:00:00,Call Drop,59,Yes
20283,259,2024-03-19 00:00:00,Call Drop,5,Yes
20284,414,2022-12-27 00:00:00,Slow Internet,66,Yes
20285,216,2024-04-10 00:00:00,Call Drop,41,Yes
20286,230,2022-03-07 00:00:00,Slow Internet,34,Yes
20287,127,2023-09-16 00:00:00,Slow Internet,54,Yes
20288,323,2024-05-17 00:00:00,No Signal,20,Yes
20289,318,2023-03-05 00:00:00,No Signal,54,No
20290,421,2023-02-05 00:00:00,Call Drop,66,Yes
20291,225,2022-06-20 00:00:00,Call Drop,18,Yes
20292,150,2024-01-29 00:00:00,Slow Internet,44,Yes
20293,287,2023-08-01 00:00:00,Slow Internet,48,Yes
20294,46,2022-03-09 00:00:00,No Signal,35,No
20295,460,2023-05-07 00:00:00,Call Drop,39,Yes
20296,301,2022-02-03 00:00:00,Call Drop,3,Yes
20297,14,2022-01-01 00:00:00,Call Drop,19,Yes
20298,121,2022-05-31 00:00:00,Call Drop,18,Yes
20299,396,2024-02-23 00:00:00,No Signal,5,Yes
20300,375,2022-09-15 00:00:00,No Signal,55,Yes
20301,191,2024-01-20 00:00:00,Slow Internet,13,Yes
20302,475,2023-09-20 00:00:00,No Signal,34,Yes
20303,333,2023-08-11 00:00:00,Slow Internet,18,Yes
20304,344,2024-03-05 00:00:00,No Signal,68,Yes
20305,166,2022-01-19 00:00:00,No Signal,43,Yes
20306,117,2024-03-06 00:00:00,Call Drop,65,Yes
20307,431,2022-02-04 00:00:00,Slow Internet,41,Yes
20308,124,2023-01-06 00:00:00,Slow Internet,38,Yes
20309,54,2023-05-06 00:00:00,Slow Internet,38,Yes
20310,439,2024-04-15 00:00:00,No Signal,13,Yes
20311,304,2024-03-27 00:00:00,Call Drop,22,Yes
20312,457,2022-08-29 00:00:00,No Signal,29,Yes
20313,456,2022-01-07 00:00:00,Call Drop,9,Yes
20314,357,2023-07-03 00:00:00,No Signal,68,Yes
20315,271,2023-01-06 00:00:00,Slow Internet,17,Yes
20316,199,2023-10-27 00:00:00,No Signal,37,Yes
20317,216,2024-01-27 00:00:00,Slow Internet,64,Yes
20318,113,2022-09-07 00:00:00,Call Drop,67,Yes
20319,16,2022-04-25 00:00:00,Slow Internet,4,No
20320,216,2023-07-07 00:00:00,Slow Internet,40,No
20321,427,2022-12-03 00:00:00,Slow Internet,16,Yes
20322,135,2023-07-28 00:00:00,Slow Internet,11,Yes
20323,43,2023-11-12 00:00:00,Call Drop,26,Yes
20324,252,2022-05-22 00:00:00,No Signal,65,Yes
20325,284,2023-04-30 00:00:00,No Signal,2,Yes
20326,322,2023-03-14 00:00:00,No Signal,45,Yes
20327,98,2024-02-09 00:00:00,No Signal,43,Yes
20328,60,2022-03-29 00:00:00,Slow Internet,3,Yes
20329,230,2023-04-08 00:00:00,Call Drop,34,Yes
20330,384,2022-02-17 00:00:00,Call Drop,65,Yes
20331,131,2023-04-26 00:00:00,No Signal,64,Yes
20332,385,2024-04-02 00:00:00,No Signal,7,Yes
20333,159,2023-06-08 00:00:00,Call Drop,35,Yes
20334,312,2022-07-30 00:00:00,Call Drop,22,Yes
20335,471,2022-09-01 00:00:00,Slow Internet,48,Yes
20336,84,2022-08-27 00:00:00,Call Drop,32,Yes
20337,208,2022-07-16 00:00:00,Call Drop,26,Yes
20338,174,2024-02-08 00:00:00,Slow Internet,6,Yes
20339,288,2022-08-23 00:00:00,Slow Internet,46,Yes
20340,81,2022-07-06 00:00:00,Slow Internet,55,Yes
20341,18,2023-12-14 00:00:00,Call Drop,55,Yes
20342,196,2023-09-07 00:00:00,Call Drop,57,No
20343,291,2022-10-17 00:00:00,Call Drop,63,Yes
20344,360,2022-08-09 00:00:00,Slow Internet,1,Yes
20345,356,2023-05-12 00:00:00,Call Drop,21,Yes
20346,279,2023-05-11 00:00:00,Call Drop,20,Yes
20347,463,2024-05-29 00:00:00,Slow Internet,29,Yes
20348,397,2022-10-29 00:00:00,No Signal,43,Yes
20349,462,2022-07-06 00:00:00,No Signal,45,Yes
20350,254,2023-03-26 00:00:00,Call Drop,65,No
20351,142,2023-02-16 00:00:00,Slow Internet,3,Yes
20352,165,2023-09-03 00:00:00,Slow Internet,20,Yes
20353,5,2022-09-02 00:00:00,Call Drop,37,Yes
20354,251,2022-11-09 00:00:00,Call Drop,38,No
20355,150,2024-03-29 00:00:00,No Signal,45,Yes
20356,28,2023-05-11 00:00:00,Slow Internet,42,Yes
20357,237,2022-01-22 00:00:00,Call Drop,46,No
20358,132,2022-03-09 00:00:00,Slow Internet,60,Yes
20359,306,2023-01-27 00:00:00,Call Drop,13,Yes
20360,358,2022-11-12 00:00:00,No Signal,31,Yes
20361,285,2022-03-06 00:00:00,Call Drop,68,Yes
20362,293,2024-03-14 00:00:00,No Signal,62,Yes
20363,163,2023-12-30 00:00:00,No Signal,49,Yes
20364,404,2023-06-25 00:00:00,Call Drop,18,Yes
20365,419,2023-12-06 00:00:00,Call Drop,53,No
20366,227,2023-07-22 00:00:00,No Signal,18,Yes
20367,468,2024-04-29 00:00:00,Slow Internet,51,Yes
20368,130,2024-06-18 00:00:00,Slow Internet,41,Yes
20369,372,2022-07-31 00:00:00,No Signal,67,Yes
20370,58,2024-01-20 00:00:00,No Signal,65,Yes
20371,146,2022-07-19 00:00:00,Call Drop,6,No
20372,478,2022-06-27 00:00:00,Call Drop,37,Yes
20373,362,2023-02-27 00:00:00,No Signal,12,Yes
20374,312,2023-10-27 00:00:00,No Signal,2,No
20375,122,2023-04-07 00:00:00,Slow Internet,53,Yes
20376,192,2022-02-13 00:00:00,Slow Internet,25,Yes
20377,245,2023-03-07 00:00:00,Slow Internet,28,No
20378,477,2022-06-17 00:00:00,No Signal,45,Yes
20379,103,2022-10-14 00:00:00,No Signal,37,Yes
20380,379,2023-12-10 00:00:00,Slow Internet,17,Yes
20381,436,2022-12-03 00:00:00,Slow Internet,69,Yes
20382,250,2023-08-09 00:00:00,Call Drop,56,Yes
20383,22,2022-06-20 00:00:00,Call Drop,58,Yes
20384,477,2024-06-10 00:00:00,No Signal,4,Yes
20385,60,2022-07-02 00:00:00,Call Drop,55,Yes
20386,238,2022-01-16 00:00:00,No Signal,49,No
20387,394,2023-05-11 00:00:00,No Signal,38,Yes
20388,340,2023-08-03 00:00:00,No Signal,45,Yes
20389,384,2024-06-05 00:00:00,Slow Internet,30,Yes
20390,336,2024-04-16 00:00:00,Call Drop,37,Yes
20391,134,2023-07-08 00:00:00,Call Drop,56,Yes
20392,337,2022-04-20 00:00:00,Call Drop,27,Yes
20393,262,2023-07-07 00:00:00,Call Drop,32,Yes
20394,342,2022-11-02 00:00:00,Slow Internet,11,Yes
20395,338,2022-01-06 00:00:00,Call Drop,58,Yes
20396,480,2024-04-22 00:00:00,Call Drop,35,Yes
20397,412,2023-11-24 00:00:00,Slow Internet,17,Yes
20398,42,2022-09-30 00:00:00,Call Drop,30,Yes
20399,74,2022-12-27 00:00:00,Call Drop,18,Yes
20400,297,2022-07-04 00:00:00,Slow Internet,30,Yes
20401,319,2024-04-14 00:00:00,Slow Internet,16,Yes
20402,22,2023-10-18 00:00:00,Slow Internet,54,Yes
20403,220,2022-04-10 00:00:00,Slow Internet,4,Yes
20404,79,2022-03-31 00:00:00,No Signal,15,Yes
20405,235,2022-09-03 00:00:00,Slow Internet,27,Yes
20406,157,2022-08-27 00:00:00,Call Drop,4,Yes
20407,327,2023-12-25 00:00:00,Call Drop,35,Yes
20408,114,2022-03-22 00:00:00,Call Drop,63,Yes
20409,290,2022-04-25 00:00:00,Call Drop,66,Yes
20410,96,2022-10-03 00:00:00,No Signal,39,Yes
20411,130,2022-03-21 00:00:00,No Signal,28,Yes
20412,410,2023-07-22 00:00:00,No Signal,34,Yes
20413,109,2022-06-28 00:00:00,Call Drop,33,Yes
20414,75,2022-11-05 00:00:00,Call Drop,50,Yes
20415,473,2023-07-15 00:00:00,Slow Internet,60,Yes
20416,275,2023-05-24 00:00:00,Slow Internet,42,Yes
20417,381,2022-09-17 00:00:00,Call Drop,28,Yes
20418,20,2024-02-25 00:00:00,Slow Internet,27,Yes
20419,161,2022-10-19 00:00:00,Slow Internet,1,Yes
20420,209,2024-06-03 00:00:00,Call Drop,8,Yes
20421,372,2022-10-18 00:00:00,No Signal,46,Yes
20422,94,2023-06-26 00:00:00,Call Drop,24,Yes
20423,82,2024-06-04 00:00:00,Call Drop,40,Yes
20424,352,2024-02-03 00:00:00,Slow Internet,51,Yes
20425,104,2022-03-04 00:00:00,Slow Internet,24,Yes
20426,237,2023-08-17 00:00:00,Call Drop,22,No
20427,260,2023-02-09 00:00:00,No Signal,68,No
20428,160,2023-04-25 00:00:00,Call Drop,8,Yes
20429,403,2022-11-21 00:00:00,No Signal,58,Yes
20430,387,2023-01-16 00:00:00,No Signal,15,Yes
20431,486,2023-11-12 00:00:00,Call Drop,8,No
20432,348,2022-11-06 00:00:00,Call Drop,42,Yes
20433,61,2022-12-09 00:00:00,Call Drop,39,Yes
20434,38,2023-11-01 00:00:00,No Signal,35,Yes
20435,118,2023-04-20 00:00:00,Slow Internet,41,Yes
20436,390,2022-02-25 00:00:00,No Signal,48,Yes
20437,312,2024-04-26 00:00:00,No Signal,71,No
20438,168,2023-03-01 00:00:00,No Signal,44,Yes
20439,377,2022-05-22 00:00:00,Slow Internet,35,Yes
20440,337,2023-10-23 00:00:00,No Signal,27,Yes
20441,362,2023-01-11 00:00:00,No Signal,65,Yes
20442,376,2022-08-14 00:00:00,No Signal,70,Yes
20443,69,2023-04-19 00:00:00,Slow Internet,66,Yes
20444,83,2022-01-25 00:00:00,No Signal,71,Yes
20445,235,2023-11-21 00:00:00,Slow Internet,63,Yes
20446,42,2022-12-31 00:00:00,Slow Internet,29,Yes
20447,99,2022-04-05 00:00:00,Call Drop,31,No
20448,470,2023-05-23 00:00:00,Call Drop,64,No
20449,472,2023-07-19 00:00:00,Call Drop,53,Yes
20450,458,2024-03-26 00:00:00,Slow Internet,68,Yes
20451,130,2023-08-05 00:00:00,Call Drop,25,Yes
20452,28,2022-06-25 00:00:00,Call Drop,13,No
20453,233,2023-10-06 00:00:00,Call Drop,40,Yes
20454,229,2023-02-12 00:00:00,Slow Internet,7,Yes
20455,117,2023-05-05 00:00:00,No Signal,32,Yes
20456,401,2024-04-30 00:00:00,Call Drop,24,Yes
20457,326,2023-04-04 00:00:00,Call Drop,1,Yes
20458,107,2023-02-17 00:00:00,Call Drop,47,Yes
20459,379,2022-12-04 00:00:00,Call Drop,51,Yes
20460,325,2024-05-21 00:00:00,Slow Internet,36,Yes
20461,295,2022-11-27 00:00:00,No Signal,27,Yes
20462,391,2022-08-01 00:00:00,No Signal,70,Yes
20463,160,2023-12-24 00:00:00,Call Drop,42,Yes
20464,4,2022-12-11 00:00:00,No Signal,68,Yes
20465,149,2023-07-30 00:00:00,Call Drop,70,Yes
20466,234,2023-07-01 00:00:00,Call Drop,13,Yes
20467,254,2023-06-08 00:00:00,No Signal,25,Yes
20468,416,2022-12-12 00:00:00,No Signal,22,Yes
