bill_id,customer_id,bill_month,bill_amount,payment_status
30552,374,2023-07-19,436,Delayed
30553,246,2023-09-13,842,Paid
30554,495,2022-09-14,528,Paid
30555,348,2022-01-11,383,Paid
30556,394,2022-06-27,1942,Paid
30557,208,2023-01-28,1984,Paid
30558,113,2022-10-21,1647,Paid
30559,471,2023-02-01,1545,Paid
30560,83,2023-01-24,680,Delayed
30561,65,2023-06-21,799,Failed
30562,1,2023-09-30,1580,Paid
30563,437,2022-09-23,560,Paid
30564,174,2022-05-13,1258,Paid
30565,250,2022-10-05,714,Paid
30566,410,2023-07-08,1968,Paid
30567,226,2022-04-11,528,Paid
30568,386,2023-02-08,467,Paid
30569,284,2022-10-11,1292,Paid
30570,84,2022-10-04,1741,Paid
30571,490,2022-05-19,1890,Paid
30572,239,2022-08-09,1153,Paid
30573,411,2022-03-10,576,Paid
30574,28,2024-03-15,491,Delayed
30575,380,2022-06-26,1508,Paid
30576,287,2023-01-08,558,Paid
30577,431,2023-12-10,1808,Paid
30578,391,2023-06-29,722,Paid
30579,328,2022-10-28,1559,Paid
30580,480,2022-08-16,822,Paid
30581,459,2023-10-10,1764,Paid
30582,304,2023-01-07,1258,Paid
30583,282,2023-10-08,1710,Paid
30584,183,2023-02-03,1601,Delayed
30585,345,2022-05-23,542,Paid
30586,135,2024-01-27,1452,Paid
30587,468,2022-05-17,816,Delayed
30588,361,2023-07-27,1984,Paid
30589,57,2022-02-25,773,Paid
30590,115,2023-10-07,595,Paid
30591,186,2023-01-17,619,Paid
30592,478,2023-04-16,1778,Paid
30593,376,2022-07-27,859,Paid
30594,1,2023-09-30,600,Paid
30595,338,2023-09-27,1710,Paid
30596,456,2024-01-13,244,Paid
30597,29,2022-02-04,885,Paid
30598,232,2022-09-23,352,Paid
30599,150,2023-08-26,459,Paid
30600,480,2022-01-21,843,Delayed
30601,424,2022-05-20,485,Paid
30602,190,2022-09-22,1890,Delayed
30603,270,2023-02-04,1043,Paid
30604,248,2023-04-02,1975,Paid
30605,386,2022-04-30,1553,Paid
30606,419,2024-01-03,837,Paid
30607,327,2023-01-18,903,Delayed
30608,195,2023-06-19,1694,Failed
30609,381,2022-02-08,1491,Paid
30610,255,2024-01-17,1856,Paid
30611,79,2024-01-23,1880,Paid
30612,363,2023-10-02,1886,Paid
30613,98,2022-01-22,355,Failed
30614,150,2023-07-21,1890,Failed
30615,274,2024-04-21,812,Paid
30616,302,2022-02-16,627,Paid
30617,338,2024-01-16,1180,Paid
30618,447,2023-06-23,1050,Paid
30619,123,2023-01-19,1474,Delayed
30620,98,2023-04-27,465,Delayed
30621,164,2022-02-17,257,Paid
30622,46,2023-11-10,815,Paid
30623,359,2024-02-22,1781,Failed
30624,239,2022-03-22,1822,Paid
30625,230,2023-09-22,369,Paid
30626,293,2022-02-14,1886,Paid
30627,244,2022-10-02,1910,Paid
30628,18,2023-11-24,1541,Paid
30629,171,2022-11-07,855,Paid
30630,360,2022-08-20,1035,Paid
30631,157,2022-03-27,1222,Paid
30632,204,2022-04-15,1020,Paid
30633,146,2024-01-25,932,Paid
30634,479,2022-06-26,596,Paid
30635,143,2024-01-16,1237,Paid
30636,187,2023-08-13,1167,Paid
30637,488,2023-09-30,660,Delayed
30638,122,2022-07-08,336,Paid
30639,350,2022-03-01,960,Paid
30640,100,2022-08-08,348,Paid
30641,284,2023-08-11,1061,Paid
30642,437,2023-08-26,979,Paid
30643,15,2022-04-26,791,Delayed
30644,384,2024-03-02,1799,Paid
30645,43,2023-04-15,1876,Delayed
30646,289,2022-06-16,498,Failed
30647,386,2023-09-30,1645,Paid
30648,187,2023-03-21,1641,Paid
30649,8,2022-08-21,957,Paid
30650,112,2022-04-24,1083,Paid
30651,33,2023-05-23,1415,Paid
30652,419,2023-09-04,1505,Delayed
30653,402,2022-05-31,1476,Failed
30654,90,2023-08-07,702,Paid
30655,496,2023-01-05,1907,Paid
30656,149,2022-12-15,1535,Paid
30657,448,2022-06-16,1500,Paid
30658,412,2022-03-13,1000,Paid
30659,212,2024-05-09,1016,Paid
30660,116,2022-12-19,508,Paid
30661,173,2022-01-11,1408,Paid
30662,20,2024-03-20,1446,Paid
30663,379,2024-01-11,772,Paid
30664,132,2023-09-30,1644,Paid
30665,292,2022-06-02,794,Delayed
30666,354,2022-06-11,225,Delayed
30667,237,2024-02-29,579,Paid
30668,77,2023-01-21,1542,Paid
30669,223,2023-11-22,329,Paid
30670,436,2022-05-24,837,Paid
30671,126,2022-05-19,1218,Paid
30672,39,2022-07-25,1745,Paid
30673,327,2022-04-06,1502,Failed
30674,209,2023-12-27,483,Paid
30675,106,2023-08-04,1419,Paid
30676,140,2022-12-22,935,Paid
30677,249,2023-04-16,1998,Paid
30678,55,2022-11-14,1497,Paid
30679,118,2023-05-27,1290,Paid
30680,350,2022-01-19,431,Paid
30681,176,2023-02-17,809,Delayed
30682,354,2023-02-11,420,Paid
30683,470,2024-04-07,651,Paid
30684,213,2023-02-06,1858,Delayed
30685,265,2024-05-12,502,Paid
30686,140,2022-04-11,1134,Paid
30687,465,2023-08-16,1836,Paid
30688,464,2023-11-26,1622,Paid
30689,325,2022-01-18,1542,Paid
30690,339,2022-06-04,462,Delayed
30691,441,2024-05-02,563,Paid
30692,284,2022-05-09,1611,Delayed
30693,273,2022-11-11,940,Paid
30694,22,2023-01-01,1857,Paid
30695,419,2023-04-07,1449,Paid
30696,369,2022-06-10,654,Paid
30697,187,2023-09-23,1962,Paid
30698,207,2023-01-11,1887,Delayed
30699,147,2022-11-28,1527,Paid
30700,495,2023-11-16,703,Paid
30701,434,2023-10-27,526,Delayed
30702,154,2022-01-20,1883,Paid
30703,108,2023-06-30,1017,Paid
30704,316,2024-04-05,1743,Paid
30705,300,2023-07-26,1542,Delayed
30706,440,2023-04-07,934,Paid
30707,483,2022-06-07,690,Delayed
30708,299,2022-12-30,659,Paid
30709,151,2023-12-19,1757,Paid
30710,458,2023-08-28,1666,Paid
30711,406,2023-12-31,1665,Paid
30712,175,2022-11-19,1926,Paid
30713,55,2022-03-30,1449,Paid
30714,267,2022-06-22,764,Delayed
30715,311,2022-02-09,1826,Paid
30716,154,2022-07-22,1749,Delayed
30717,385,2024-01-03,1018,Paid
30718,500,2023-07-13,1913,Paid
30719,484,2022-08-31,714,Paid
30720,190,2023-05-21,616,Paid
30721,149,2022-03-29,1323,Paid
30722,8,2023-10-31,606,Delayed
30723,148,2023-11-05,1627,Paid
30724,173,2023-06-16,1352,Paid
30725,81,2023-10-22,1741,Delayed
30726,79,2023-12-14,1918,Paid
30727,469,2024-04-03,1042,Paid
30728,321,2022-05-31,233,Paid
30729,60,2022-04-10,1966,Paid
30730,451,2022-09-04,352,Paid
30731,95,2023-09-17,1624,Paid
30732,312,2024-01-01,1286,Delayed
30733,128,2024-05-05,1981,Paid
30734,122,2024-05-21,1088,Paid
30735,287,2023-06-21,766,Paid
30736,341,2023-05-11,427,Paid
30737,87,2022-10-16,1174,Delayed
30738,382,2023-02-19,1199,Paid
30739,81,2023-09-07,1475,Paid
30740,22,2022-03-20,1710,Paid
30741,252,2023-01-20,1003,Paid
30742,190,2023-03-14,762,Failed
30743,312,2023-06-12,1113,Paid
30744,86,2022-12-07,213,Paid
